[d_loss, g_loss]
1.4235165,-1.4235165
1.4113866,-1.4113866
1.4437019,-1.4437019
1.4061563,-1.4061563
1.4300406,-1.4300406
1.4280883,-1.4280883
1.4290502,-1.4290502
1.4082206,-1.4082206
1.3757563,-1.3757563
1.3627653,-1.3627653
1.3726895,-1.3726895
1.4474876,-1.4474876
1.4697931,-1.4697931
1.4342724,-1.4342724
1.4403641,-1.4403641
1.417216,-1.417216
1.3974454,-1.3974454
1.4247967,-1.4247967
1.3805847,-1.3805847
1.3743571,-1.3743571
1.3565619,-1.3565619
1.4419312,-1.4419312
1.4641961,-1.4641961
1.4036644,-1.4036644
1.3980743,-1.3980743
1.4258177,-1.4258177
1.3780874,-1.3780874
1.3094802,-1.3094802
1.3361238,-1.3361238
1.3455148,-1.3455148
1.3048127,-1.3048127
1.3357096,-1.3357096
1.3051054,-1.3051054
1.2759414,-1.2759414
1.2862203,-1.2862203
1.3020971,-1.3020971
1.3460293,-1.3460293
1.313894,-1.313894
1.3165369,-1.3165369
1.309351,-1.309351
1.3124222,-1.3124222
1.3126016,-1.3126016
1.3171399,-1.3171399
1.3205004,-1.3205004
1.3177066,-1.3177066
1.3506427,-1.3506427
1.3915436,-1.3915436
1.3742362,-1.3742362
1.3623488,-1.3623488
1.3899796,-1.3899796
1.384222,-1.384222
1.3501513,-1.3501513
1.406519,-1.406519
1.310771,-1.310771
1.3633296,-1.3633296
1.2809846,-1.2809846
1.3242348,-1.3242348
1.3369827,-1.3369827
1.3763194,-1.3763194
1.3261871,-1.3261871
1.2723062,-1.2723062
1.3909672,-1.3909672
1.3336556,-1.3336556
1.3215263,-1.3215263
1.3038812,-1.3038812
1.2695472,-1.2695472
1.2424937,-1.2424937
1.2190435,-1.2190435
1.3254881,-1.3254881
1.2158928,-1.2158928
1.2762802,-1.2762802
1.2529992,-1.2529992
1.2952065,-1.2952065
1.2431566,-1.2431566
1.2100569,-1.2100569
1.2522824,-1.2522824
1.2605586,-1.2605586
1.2023208,-1.2023208
1.2854894,-1.2854894
1.2897077,-1.2897077
1.1702378,-1.1702378
1.2616935,-1.2616935
1.2340468,-1.2340468
1.3158122,-1.3158122
1.2342219,-1.2342219
1.4340956,-1.4340956
1.4427614,-1.4427614
1.4296422,-1.4296422
1.3971748,-1.3971748
1.4274088,-1.4274088
1.5007561,-1.5007561
1.4698803,-1.4698803
1.3275979,-1.3275979
1.3306136,-1.3306136
1.3628244,-1.3628244
1.278191,-1.278191
1.3179415,-1.3179415
1.237458,-1.237458
1.276176,-1.276176
1.3106654,-1.3106654
1.3341899,-1.3341899
1.44719,-1.44719
1.4646858,-1.4646858
1.4515966,-1.4515966
1.3751755,-1.3751755
1.4240621,-1.4240621
1.351711,-1.351711
1.3056476,-1.3056476
1.3274819,-1.3274819
1.3373594,-1.3373594
1.3835288,-1.3835288
1.4284396,-1.4284396
1.4081105,-1.4081105
1.3887279,-1.3887279
1.3308668,-1.3308668
1.4429257,-1.4429257
1.3808246,-1.3808246
1.3693948,-1.3693948
1.3621336,-1.3621336
1.3409059,-1.3409059
1.3010237,-1.3010237
1.3703883,-1.3703883
1.3585538,-1.3585538
1.3163753,-1.3163753
1.2995187,-1.2995187
1.3137574,-1.3137574
1.3489249,-1.3489249
1.289972,-1.289972
1.391454,-1.391454
1.3260548,-1.3260548
1.3875432,-1.3875432
1.237154,-1.237154
1.3354121,-1.3354121
1.2705662,-1.2705662
1.2958009,-1.2958009
1.2436967,-1.2436967
1.1756055,-1.1756055
1.2898788,-1.2898788
1.2534785,-1.2534785
1.1716387,-1.1716387
1.1669133,-1.1669133
1.1934826,-1.1934826
1.1647439,-1.1647439
1.2043734,-1.2043734
1.332715,-1.332715
1.4015632,-1.4015632
1.2079344,-1.2079344
1.3053133,-1.3053133
1.289638,-1.289638
