[d_loss, g_loss]
1.4430072,-1.4430072
1.4047523,-1.4047523
1.3666679,-1.3666679
1.4282103,-1.4282103
1.4311012,-1.4311012
1.4400628,-1.4400628
1.4294136,-1.4294136
1.4300023,-1.4300023
1.3856804,-1.3856804
1.350455,-1.350455
1.366533,-1.366533
1.3544009,-1.3544009
1.3960605,-1.3960605
1.3701442,-1.3701442
1.3611171,-1.3611171
1.3739297,-1.3739297
1.3668458,-1.3668458
1.3796778,-1.3796778
1.3737082,-1.3737082
1.3327806,-1.3327806
1.3102784,-1.3102784
1.3493874,-1.3493874
1.345787,-1.345787
1.3981364,-1.3981364
1.403465,-1.403465
1.3929596,-1.3929596
1.3811634,-1.3811634
1.3605703,-1.3605703
1.3932692,-1.3932692
1.4037874,-1.4037874
1.3689573,-1.3689573
1.3661542,-1.3661542
1.3954729,-1.3954729
1.326193,-1.326193
1.3523989,-1.3523989
1.3500894,-1.3500894
1.3754888,-1.3754888
1.3438611,-1.3438611
1.3035074,-1.3035074
1.3507347,-1.3507347
1.3634254,-1.3634254
1.4070758,-1.4070758
1.4388973,-1.4388973
1.4687567,-1.4687567
1.4681667,-1.4681667
1.4129021,-1.4129021
1.4272703,-1.4272703
1.444174,-1.444174
1.47042,-1.47042
1.4244978,-1.4244978
1.4042795,-1.4042795
1.4189782,-1.4189782
1.4021378,-1.4021378
1.3849785,-1.3849785
1.3763292,-1.3763292
1.3550329,-1.3550329
1.4129531,-1.4129531
1.3778622,-1.3778622
1.4001882,-1.4001882
1.4096396,-1.4096396
1.400274,-1.400274
1.4310954,-1.4310954
1.396567,-1.396567
1.394618,-1.394618
1.3767294,-1.3767294
1.3655856,-1.3655856
1.4060831,-1.4060831
1.3769411,-1.3769411
1.3311062,-1.3311062
1.3758454,-1.3758454
1.3791428,-1.3791428
1.4114944,-1.4114944
1.3900974,-1.3900974
1.4100733,-1.4100733
1.3794254,-1.3794254
1.3951398,-1.3951398
1.409884,-1.409884
1.3850366,-1.3850366
1.3807168,-1.3807168
1.4081471,-1.4081471
1.3519032,-1.3519032
1.3881705,-1.3881705
1.4034863,-1.4034863
1.3758318,-1.3758318
1.3438834,-1.3438834
1.4119349,-1.4119349
1.3636961,-1.3636961
1.3893036,-1.3893036
1.3860098,-1.3860098
1.31815,-1.31815
1.32606,-1.32606
1.3631083,-1.3631083
1.3021655,-1.3021655
1.3032743,-1.3032743
1.2869109,-1.2869109
1.2863867,-1.2863867
1.3125145,-1.3125145
1.4049397,-1.4049397
1.464984,-1.464984
1.4447049,-1.4447049
1.4934614,-1.4934614
1.472594,-1.472594
