[d_loss, g_loss]
1.4228133,0.7129067
1.3882762,0.6930347
1.3629552,0.6723099
1.3298936,0.6563693
1.3094838,0.64048123
1.274591,0.63463295
1.2465127,0.62747025
1.2244749,0.62191314
1.1900566,0.62044895
1.1656592,0.6167769
1.1484853,0.61333513
1.1183921,0.61930776
1.0993843,0.6202889
1.0806949,0.6155839
1.0588324,0.6173989
1.047423,0.611217
1.0358919,0.6080942
1.0304599,0.6017504
1.0225887,0.5955781
1.0273561,0.5857683
1.0342058,0.5709444
1.0318166,0.5644258
1.0352439,0.55524457
1.0357149,0.54835117
1.0477078,0.5387339
1.0542003,0.53094375
1.0644885,0.5221167
1.0750834,0.51225615
1.090529,0.50286543
1.1128612,0.49071825
1.1351328,0.4752473
1.1595025,0.46270564
1.185266,0.44781512
1.1988635,0.4425252
1.2232568,0.4314882
1.2381021,0.4245233
1.2510318,0.42447466
1.2451229,0.4306766
1.2544541,0.43268389
1.2386305,0.44411165
1.232829,0.45679247
1.1976951,0.47900757
1.186551,0.49996006
1.1544623,0.5243167
1.1445962,0.5411023
1.1093607,0.5745059
1.100209,0.59659016
1.0626967,0.6200563
1.0627292,0.6460279
1.0313535,0.6720286
1.0336978,0.69067025
1.0206258,0.7158624
1.0025282,0.7331647
0.98229516,0.7540771
0.99030316,0.7536178
0.9848173,0.7619811
0.98086464,0.77603495
0.9664908,0.7937503
0.9412985,0.8062049
0.92367244,0.81740004
0.9189064,0.82736367
0.9056488,0.83142453
0.902832,0.83951724
0.88701,0.83921933
0.89586806,0.83374304
0.881475,0.8401388
0.87698835,0.8412403
0.8620039,0.83498144
0.8829864,0.8255772
0.8795608,0.8165291
0.8915424,0.80337286
0.9019432,0.7746551
0.91950214,0.75978124
0.95161235,0.73222303
0.97859645,0.69734144
1.0076464,0.67412883
1.0428746,0.64560235
1.0923467,0.61042553
1.117592,0.5880064
1.1660203,0.5642883
1.18841,0.5511687
1.220101,0.5433638
1.2247539,0.553685
1.2101521,0.5677964
1.1951516,0.5898097
1.1762748,0.62290657
1.1312103,0.66360945
1.0972841,0.7056341
1.0735182,0.739802
1.0402519,0.7828857
1.0328627,0.8059914
0.98759925,0.8347441
0.9548437,0.8716698
0.91568244,0.88943005
0.91286904,0.8938321
0.9144405,0.8881804
0.89240104,0.8867152
0.87974226,0.8774428
0.8560411,0.866149
0.855826,0.8533619
0.8611598,0.8511947
0.8597375,0.8496131
0.8564445,0.8614772
0.82674086,0.8756904
0.81396836,0.9024292
0.8057153,0.93257815
0.77976716,0.9690238
0.76144034,1.0134299
0.73816884,1.0493283
0.7274369,1.0978462
0.69638085,1.1444521
0.6960958,1.183943
0.6742588,1.224807
0.66983706,1.2417729
0.6588352,1.2537832
0.65595716,1.241189
0.67537606,1.2010047
0.6885309,1.1649536
0.70419705,1.1196119
0.68972534,1.1010208
