[indiv, fitness, expression]
0,1.0185928344726562,"div(add(cos(cos(sin(cos(sin(scalar(-0.3711828925718579)))))), sin(add(mult(abs(add(x, mult(y, scalar(0.49196476701364045)))), add(sin(abs(sign(tan(scalar(-0.8076780851585177))))), scalar(-0.3711828925718579))), cos(sin(cos(sin(cos(sin(scalar(-0.3711828925718579)))))))))), add(tan(sub(add(mult(sin(abs(sin(cos(scalar(-0.026990225128209477))))), y), sub(tan(y), scalar(-0.6171183254345722))), add(tan(y), add(scalar(0.9244871380680937), tan(scalar(-0.8076780851585177)))))), pow(sub(sub(pow(pow(mult(mult(add(sin(tan(add(scalar(-0.13367592311870524), scalar(0.4343585438987898)))), tan(y)), div(scalar(-0.026990225128209477), mult(mult(y, scalar(0.49196476701364045)), mult(sub(sin(scalar(-0.3711828925718579)), sin(y)), y)))), cos(scalar(0.9244871380680937))), pow(y, scalar(0.6856055624774973))), mult(add(tan(add(scalar(-0.13367592311870524), scalar(0.4343585438987898))), add(sin(x), tan(scalar(-0.3711828925718579)))), add(sin(cos(sin(sign(x)))), scalar(-0.3711828925718579)))), cos(add(mult(abs(add(scalar(-0.13367592311870524), scalar(0.4343585438987898))), add(sin(cos(sin(cos(tan(scalar(-0.3711828925718579)))))), scalar(-0.3711828925718579))), x))), sign(sin(cos(sin(cos(scalar(-0.8858957259599116))))))), add(sub(tan(sin(tan(sin(add(scalar(-0.13367592311870524), scalar(0.4343585438987898)))))), add(tan(mult(sin(cos(sin(scalar(-0.3711828925718579)))), mult(sub(sin(scalar(-0.3711828925718579)), cos(scalar(-0.026990225128209477))), tan(tan(scalar(-0.3711828925718579)))))), sin(y))), tan(sub(cos(mult(y, scalar(0.49196476701364045))), x))))))"
1,1.0185928344726562,"div(add(cos(cos(sin(cos(sin(scalar(-0.3711828925718579)))))), sin(add(mult(abs(add(x, mult(y, scalar(0.49196476701364045)))), add(sin(abs(sign(tan(scalar(-0.8076780851585177))))), scalar(-0.3711828925718579))), cos(sin(cos(sin(cos(sin(scalar(-0.3711828925718579)))))))))), add(tan(sub(add(mult(sin(abs(sin(cos(scalar(-0.026990225128209477))))), y), sub(tan(y), scalar(-0.6171183254345722))), add(tan(y), add(scalar(0.9244871380680937), tan(scalar(-0.8076780851585177)))))), pow(sub(sub(pow(pow(mult(mult(add(sin(tan(add(scalar(-0.13367592311870524), scalar(0.4343585438987898)))), tan(y)), div(scalar(-0.026990225128209477), mult(mult(y, scalar(0.49196476701364045)), mult(sub(sin(scalar(-0.3711828925718579)), sin(y)), y)))), cos(scalar(0.9244871380680937))), pow(y, scalar(0.6856055624774973))), mult(add(tan(add(scalar(-0.13367592311870524), scalar(0.4343585438987898))), add(sin(x), tan(scalar(-0.3711828925718579)))), add(sin(cos(sin(sign(x)))), scalar(-0.3711828925718579)))), cos(add(mult(abs(add(scalar(-0.13367592311870524), scalar(0.4343585438987898))), add(sin(cos(sin(cos(tan(scalar(-0.3711828925718579)))))), scalar(-0.3711828925718579))), x))), sign(sin(cos(add(scalar(-0.13367592311870524), scalar(0.4343585438987898)))))), add(sub(tan(sin(tan(sin(add(scalar(-0.13367592311870524), scalar(0.4343585438987898)))))), add(tan(mult(sin(cos(sin(scalar(-0.3711828925718579)))), mult(sub(sin(scalar(-0.3711828925718579)), cos(scalar(-0.026990225128209477))), tan(tan(scalar(-0.3711828925718579)))))), sin(y))), tan(sub(cos(mult(y, scalar(0.49196476701364045))), x))))))"
2,1.0185928344726562,"div(add(cos(cos(sin(cos(sin(scalar(-0.3711828925718579)))))), sin(add(mult(abs(add(x, mult(y, scalar(0.49196476701364045)))), add(sin(abs(sign(tan(sin(cos(sin(sign(x)))))))), scalar(-0.3711828925718579))), cos(sin(cos(sin(cos(sin(scalar(-0.3711828925718579)))))))))), add(tan(sub(add(mult(sin(abs(sin(cos(scalar(-0.026990225128209477))))), y), sub(tan(y), scalar(-0.6171183254345722))), add(tan(y), add(scalar(0.9244871380680937), tan(scalar(-0.8076780851585177)))))), pow(sub(sub(pow(pow(mult(mult(add(sin(tan(add(scalar(-0.13367592311870524), scalar(0.4343585438987898)))), tan(y)), div(scalar(-0.026990225128209477), mult(mult(y, scalar(0.49196476701364045)), mult(sub(sin(scalar(-0.3711828925718579)), sin(y)), y)))), cos(scalar(0.9244871380680937))), pow(y, scalar(0.6856055624774973))), mult(add(tan(add(scalar(-0.13367592311870524), scalar(0.4343585438987898))), add(sin(x), tan(scalar(-0.3711828925718579)))), add(sin(cos(sin(sign(x)))), scalar(-0.3711828925718579)))), cos(add(mult(abs(add(scalar(-0.13367592311870524), scalar(0.4343585438987898))), add(sin(cos(sin(cos(tan(scalar(-0.3711828925718579)))))), scalar(-0.3711828925718579))), x))), sign(sin(cos(add(scalar(-0.13367592311870524), scalar(0.4343585438987898)))))), add(sub(tan(sin(tan(sin(add(scalar(-0.13367592311870524), scalar(0.4343585438987898)))))), add(tan(mult(sin(cos(sin(scalar(-0.3711828925718579)))), mult(sub(sin(scalar(-0.3711828925718579)), cos(scalar(-0.026990225128209477))), tan(tan(scalar(-0.3711828925718579)))))), sin(y))), tan(sub(cos(mult(y, scalar(0.49196476701364045))), x))))))"
3,1.0185928344726562,"div(add(cos(cos(sin(cos(sin(scalar(-0.3711828925718579)))))), sin(add(mult(abs(add(x, mult(y, scalar(0.49196476701364045)))), add(sin(abs(sign(tan(scalar(-0.8076780851585177))))), scalar(-0.3711828925718579))), cos(sin(cos(sin(cos(sin(scalar(-0.3711828925718579)))))))))), add(tan(sub(add(mult(sin(abs(sin(cos(scalar(-0.026990225128209477))))), y), sub(tan(y), scalar(-0.6171183254345722))), add(tan(y), add(scalar(0.9244871380680937), tan(scalar(-0.8076780851585177)))))), pow(sub(sub(pow(pow(mult(mult(add(sin(tan(add(scalar(-0.13367592311870524), scalar(0.4343585438987898)))), tan(y)), div(scalar(-0.026990225128209477), mult(mult(y, scalar(0.49196476701364045)), mult(sub(sin(scalar(-0.3711828925718579)), sin(y)), y)))), cos(scalar(0.9244871380680937))), pow(y, scalar(0.6856055624774973))), mult(add(tan(add(scalar(-0.13367592311870524), scalar(0.4343585438987898))), add(sin(x), tan(scalar(-0.3711828925718579)))), add(sin(cos(sin(sign(x)))), scalar(-0.3711828925718579)))), cos(add(mult(abs(add(scalar(-0.13367592311870524), scalar(0.4343585438987898))), add(sin(cos(sin(cos(tan(scalar(-0.3711828925718579)))))), scalar(-0.3711828925718579))), x))), sign(sin(cos(add(scalar(-0.13367592311870524), scalar(0.4343585438987898)))))), add(sub(tan(sin(tan(sin(add(scalar(-0.13367592311870524), scalar(0.4343585438987898)))))), add(tan(mult(sin(cos(sin(scalar(-0.3711828925718579)))), mult(sub(sin(scalar(-0.3711828925718579)), cos(scalar(-0.026990225128209477))), tan(tan(scalar(-0.3711828925718579)))))), sin(y))), tan(sub(cos(mult(y, scalar(0.49196476701364045))), x))))))"
4,1.0185928344726562,"div(add(cos(cos(sin(cos(sin(scalar(-0.3711828925718579)))))), sin(add(mult(abs(add(x, mult(y, scalar(0.49196476701364045)))), add(sin(abs(sign(tan(scalar(-0.8076780851585177))))), scalar(-0.3711828925718579))), cos(sin(cos(sin(cos(sin(scalar(-0.3711828925718579)))))))))), add(tan(sub(add(mult(sin(abs(sin(cos(scalar(-0.026990225128209477))))), y), sub(tan(y), scalar(-0.6171183254345722))), add(tan(y), add(scalar(0.9244871380680937), tan(scalar(-0.8076780851585177)))))), pow(sub(sub(pow(pow(mult(mult(add(sin(tan(add(scalar(-0.13367592311870524), scalar(0.4343585438987898)))), tan(y)), div(scalar(-0.026990225128209477), mult(mult(y, scalar(0.49196476701364045)), mult(sub(sin(scalar(-0.3711828925718579)), sin(y)), y)))), cos(scalar(0.9244871380680937))), pow(y, scalar(0.6856055624774973))), mult(add(tan(add(scalar(-0.13367592311870524), scalar(0.4343585438987898))), add(sin(x), tan(scalar(-0.3711828925718579)))), add(sin(cos(sin(sign(x)))), scalar(-0.3711828925718579)))), cos(add(mult(abs(add(scalar(-0.13367592311870524), scalar(0.4343585438987898))), add(sin(cos(sin(cos(tan(scalar(-0.3711828925718579)))))), scalar(-0.3711828925718579))), x))), sign(sin(cos(cos(sin(sign(x))))))), add(sub(tan(sin(tan(sin(add(scalar(-0.13367592311870524), scalar(0.4343585438987898)))))), add(tan(mult(sin(cos(sin(scalar(-0.3711828925718579)))), mult(sub(sin(scalar(-0.3711828925718579)), cos(scalar(-0.026990225128209477))), tan(tan(scalar(-0.3711828925718579)))))), sin(y))), tan(sub(cos(mult(y, scalar(0.49196476701364045))), x))))))"
5,1.0185928344726562,"div(add(cos(cos(sin(cos(sin(scalar(-0.3711828925718579)))))), sin(add(mult(abs(add(x, mult(y, scalar(0.49196476701364045)))), add(sin(abs(sign(tan(scalar(-0.8076780851585177))))), scalar(-0.3711828925718579))), cos(sin(cos(sin(cos(sin(scalar(-0.3711828925718579)))))))))), add(tan(sub(add(mult(sin(abs(sin(cos(scalar(-0.026990225128209477))))), y), sub(tan(y), scalar(-0.6171183254345722))), add(tan(y), add(scalar(0.9244871380680937), tan(scalar(-0.8076780851585177)))))), pow(sub(sub(pow(pow(mult(mult(add(sin(tan(add(scalar(-0.13367592311870524), scalar(0.4343585438987898)))), tan(y)), div(scalar(-0.026990225128209477), mult(mult(y, scalar(0.49196476701364045)), mult(sub(sin(scalar(-0.3711828925718579)), sin(y)), y)))), cos(scalar(0.9244871380680937))), pow(y, scalar(0.6856055624774973))), mult(add(tan(add(scalar(-0.13367592311870524), scalar(0.4343585438987898))), add(sin(x), tan(scalar(-0.3711828925718579)))), add(sin(cos(sin(sign(x)))), scalar(-0.3711828925718579)))), cos(add(mult(abs(add(scalar(-0.13367592311870524), scalar(0.4343585438987898))), add(sin(cos(sin(cos(tan(scalar(-0.3711828925718579)))))), scalar(-0.3711828925718579))), x))), sign(sin(cos(sin(cos(scalar(-0.8858957259599116))))))), add(sub(tan(sin(tan(sin(add(scalar(-0.13367592311870524), scalar(0.4343585438987898)))))), add(tan(mult(sin(cos(sin(scalar(-0.3711828925718579)))), mult(sub(sin(scalar(-0.3711828925718579)), cos(scalar(-0.026990225128209477))), tan(tan(scalar(-0.3711828925718579)))))), sin(y))), tan(sub(cos(mult(y, scalar(0.49196476701364045))), x))))))"
6,1.0003340244293213,"div(add(cos(cos(sin(cos(sin(scalar(-0.3711828925718579)))))), sin(add(mult(abs(add(x, mult(y, scalar(0.49196476701364045)))), add(sin(abs(sign(tan(scalar(-0.8076780851585177))))), scalar(-0.3711828925718579))), cos(sin(cos(sin(cos(sin(scalar(-0.3711828925718579)))))))))), add(tan(sub(add(mult(sin(abs(sin(cos(scalar(-0.026990225128209477))))), y), sub(tan(y), scalar(-0.6171183254345722))), add(tan(y), add(scalar(0.9244871380680937), tan(scalar(-0.8076780851585177)))))), pow(sub(sub(pow(pow(mult(mult(add(sin(tan(add(scalar(-0.13367592311870524), scalar(0.4343585438987898)))), tan(y)), div(scalar(-0.026990225128209477), mult(mult(y, scalar(0.49196476701364045)), mult(sub(sin(scalar(-0.3711828925718579)), sin(y)), y)))), cos(scalar(0.9244871380680937))), pow(y, scalar(0.6856055624774973))), mult(add(tan(add(scalar(-0.13367592311870524), scalar(0.4343585438987898))), add(sin(x), tan(scalar(-0.3711828925718579)))), add(sin(cos(sin(sign(x)))), scalar(-0.3711828925718579)))), cos(add(add(abs(add(scalar(-0.13367592311870524), scalar(0.4343585438987898))), add(sin(cos(sin(cos(tan(scalar(-0.3711828925718579)))))), scalar(-0.3711828925718579))), x))), sign(sin(cos(sin(cos(scalar(-0.8858957259599116))))))), add(sub(tan(sin(tan(sin(add(scalar(-0.13367592311870524), scalar(0.4343585438987898)))))), add(tan(mult(sin(cos(sin(scalar(-0.3711828925718579)))), mult(sub(sin(scalar(-0.3711828925718579)), cos(scalar(-0.026990225128209477))), tan(tan(scalar(-0.3711828925718579)))))), sin(y))), tan(sub(cos(mult(y, scalar(0.49196476701364045))), x))))))"
7,0.998524010181427,"div(add(cos(cos(sin(cos(sin(scalar(-0.3711828925718579)))))), sin(add(mult(abs(add(x, mult(y, scalar(0.49196476701364045)))), add(sin(abs(sign(tan(sign(scalar(0.32862545108006813)))))), scalar(-0.3711828925718579))), cos(sin(cos(tan(cos(sin(scalar(-0.3711828925718579)))))))))), add(tan(sub(add(mult(sin(abs(sin(cos(scalar(-0.026990225128209477))))), y), sub(tan(y), scalar(-0.6171183254345722))), add(tan(y), add(scalar(0.9244871380680937), tan(scalar(-0.8076780851585177)))))), pow(sub(sub(pow(pow(mult(mult(add(sin(tan(add(scalar(-0.13367592311870524), scalar(0.4343585438987898)))), tan(y)), div(scalar(-0.026990225128209477), mult(mult(y, scalar(0.49196476701364045)), mult(sub(sin(scalar(-0.3711828925718579)), sin(y)), y)))), cos(cos(sin(cos(tan(sin(scalar(-0.3711828925718579)))))))), pow(y, scalar(0.6856055624774973))), mult(add(tan(add(scalar(-0.13367592311870524), scalar(0.4343585438987898))), add(sin(x), tan(scalar(-0.3711828925718579)))), add(sin(tan(tan(scalar(-0.3711828925718579)))), scalar(-0.3711828925718579)))), cos(add(mult(add(scalar(-0.13367592311870524), scalar(0.4343585438987898)), add(sin(cos(sin(cos(tan(scalar(-0.3711828925718579)))))), scalar(-0.3711828925718579))), x))), sign(sin(cos(sin(abs(sin(cos(scalar(-0.026990225128209477))))))))), add(sub(tan(sin(sign(add(scalar(-0.13367592311870524), scalar(0.4343585438987898))))), add(tan(mult(sin(cos(sin(scalar(-0.3711828925718579)))), mult(sub(sin(scalar(-0.3711828925718579)), cos(sin(sin(sign(scalar(0.9876685250819703)))))), tan(tan(scalar(-0.3711828925718579)))))), sin(y))), tan(sub(cos(mult(y, scalar(0.49196476701364045))), x))))))"
8,0.998524010181427,"div(add(cos(cos(sin(cos(sin(scalar(-0.3711828925718579)))))), sin(add(mult(abs(add(x, mult(y, scalar(0.49196476701364045)))), add(sin(abs(sign(tan(sign(scalar(0.32862545108006813)))))), scalar(-0.3711828925718579))), cos(sin(cos(tan(cos(sin(scalar(-0.3711828925718579)))))))))), add(tan(sub(add(mult(sin(abs(sin(cos(scalar(-0.026990225128209477))))), y), sub(tan(y), scalar(-0.6171183254345722))), add(tan(y), add(scalar(0.9244871380680937), tan(scalar(-0.8076780851585177)))))), pow(sub(sub(pow(pow(mult(mult(add(sin(tan(add(scalar(-0.13367592311870524), scalar(0.4343585438987898)))), tan(y)), div(scalar(-0.026990225128209477), mult(mult(y, scalar(0.49196476701364045)), mult(sub(sin(scalar(-0.3711828925718579)), sin(y)), y)))), cos(cos(sin(cos(tan(sin(scalar(-0.3711828925718579)))))))), pow(y, scalar(0.6856055624774973))), mult(add(tan(add(scalar(-0.13367592311870524), scalar(0.4343585438987898))), add(sin(x), tan(scalar(-0.3711828925718579)))), add(sin(tan(tan(scalar(-0.3711828925718579)))), scalar(-0.3711828925718579)))), cos(add(mult(add(scalar(-0.13367592311870524), scalar(0.4343585438987898)), add(sin(cos(sin(cos(tan(scalar(-0.3711828925718579)))))), scalar(-0.3711828925718579))), x))), sign(sin(cos(sin(abs(sin(cos(scalar(-0.026990225128209477))))))))), add(sub(tan(sin(sign(add(scalar(-0.13367592311870524), scalar(0.4343585438987898))))), add(tan(mult(sin(cos(sin(scalar(-0.3711828925718579)))), mult(sub(sin(scalar(-0.3711828925718579)), cos(sin(sin(sign(scalar(0.9876685250819703)))))), tan(tan(scalar(-0.3711828925718579)))))), sin(y))), tan(sub(cos(mult(y, scalar(0.49196476701364045))), x))))))"
9,0.998524010181427,"div(add(cos(cos(sin(cos(sin(scalar(-0.3711828925718579)))))), sin(add(mult(abs(add(x, mult(y, scalar(0.49196476701364045)))), add(sin(abs(sign(tan(sign(scalar(0.32862545108006813)))))), scalar(-0.3711828925718579))), cos(sin(cos(tan(cos(sin(scalar(-0.3711828925718579)))))))))), add(tan(sub(add(mult(sin(abs(sin(cos(scalar(-0.026990225128209477))))), y), sub(tan(y), scalar(-0.6171183254345722))), add(tan(y), add(scalar(0.9244871380680937), tan(scalar(-0.8076780851585177)))))), pow(sub(sub(pow(pow(mult(mult(add(sin(tan(add(scalar(-0.13367592311870524), scalar(0.4343585438987898)))), tan(y)), div(scalar(-0.026990225128209477), mult(mult(y, scalar(0.49196476701364045)), mult(sub(sin(scalar(-0.3711828925718579)), sin(y)), y)))), cos(cos(sin(cos(tan(sin(scalar(-0.3711828925718579)))))))), pow(y, scalar(0.6856055624774973))), mult(add(tan(add(scalar(-0.13367592311870524), scalar(0.4343585438987898))), add(sin(x), tan(scalar(-0.3711828925718579)))), add(sin(tan(tan(scalar(-0.3711828925718579)))), scalar(-0.3711828925718579)))), cos(add(mult(add(scalar(-0.13367592311870524), scalar(0.4343585438987898)), add(sin(cos(sin(cos(tan(scalar(-0.3711828925718579)))))), scalar(-0.3711828925718579))), x))), sign(sin(cos(sin(abs(sin(cos(scalar(-0.026990225128209477))))))))), add(sub(tan(sin(sign(add(scalar(-0.13367592311870524), scalar(0.4343585438987898))))), add(tan(mult(sin(cos(sin(scalar(-0.3711828925718579)))), mult(sub(sin(scalar(-0.3711828925718579)), cos(sin(sin(sign(scalar(0.9876685250819703)))))), tan(tan(scalar(-0.3711828925718579)))))), sin(y))), tan(sub(cos(mult(y, scalar(0.49196476701364045))), x))))))"
